id,sector,name,pitch,target_market,model_slug,budget_band,location,team,time_mode,source,ref
3117,ODOP (One District One Product),Forged Items,Forged Items is the ODOP of Fatehgarh Sahib. Work with its makers and sell their work to city and export buyers.,,light-engineering-unit,3,,,,odop,odop:forged-item
3118,ODOP (One District One Product),Foundry,Foundry is the ODOP of Belagavi. Work with its makers and sell their work to city and export buyers.,,light-engineering-unit,4,,,,odop,odop:foundry
3119,ODOP (One District One Product),Fruit Based Food Products,"Fruit Based Food Products (Pickles, Mango Jelly, Fruit Pulp, Cashew nuts, Lemon extracts) is the ODOP of East Godavari. Buy direct from growers there and sell a processed, branded product.",,pickle-and-papad-brand,3,,,,odop,odop:fruit-based-food-product-pickle-mango-jelly-fruit-pulp-cashew-nut-lemon-extract
3120,ODOP (One District One Product),Garlic Brand,"Garlic is the ODOP of Kulgam, Udhampur, Mandsaur. Buy direct from growers there and sell a processed, branded product.",,spice-processing-unit,2,,,,odop,odop:garlic
3121,ODOP (One District One Product),Gaura Stone Craft,Gaura Stone Craft is the ODOP of Mahoba. Work with its makers and sell their work to city and export buyers.,,handcrafted-home-decor,2,,,,odop,odop:gaura-stone-craft
3122,ODOP (One District One Product),Gauze & Medical Cloth,Gauze Cloth is the ODOP of Virudhunagar. Work with its makers and sell their work to city and export buyers.,,handloom-textiles-brand,3,,,,odop,odop:gauze-cloth
3123,ODOP (One District One Product),Gems & Jewellery,"Gems & Jewellery is the ODOP of Surat, Mumbai City, Mumbai Suburban and 2 more. Work with its makers and sell their work to city and export buyers.",,jewellery-brand,3,,,,odop,odop:gem-jewellery
3124,ODOP (One District One Product),Ghazipur Wall Hangings,Ghazipur Wall Hangings is the ODOP of Ghazipur. Work with its makers and sell their work to city and export buyers.,,handcrafted-home-decor,2,,,,odop,odop:ghazipur-wall-hanging
3125,ODOP (One District One Product),Ginger Brand,"Ginger is the ODOP of Lower Dibang Valley, Pakke Kessang, Tirap and 9 more. Buy direct from growers there and sell a processed, branded product.",,spice-processing-unit,3,,,,odop,odop:ginger
3126,ODOP (One District One Product),Gold Jewellery,Gold Jewellery is the ODOP of Eluru. Work with its makers and sell their work to city and export buyers.,,jewellery-brand,3,,,,odop,odop:gold-jewellery
